rainfall_72h_mm,rainfall_threshold_mm,soil_saturation_ratio,terrain_slope_degrees,drainage_capacity_mm_day,elevation_meters,river_distance_meters,past_recurrence_count,vulnerability_svi,flood_hazard_occurred
28.9,92.1,0.933,3.0,47.5,626.5,1938.3,0,40.2,0
137.3,68.4,0.44,1.0,98.8,658.3,1240.2,4,21.6,1
45.3,87.8,0.666,13.7,99.5,225.9,248.8,0,32.9,0
24.3,98.7,0.449,3.2,149.5,1163.7,1536.2,3,84.6,0
11.7,56.8,0.768,3.0,28.6,931.3,1407.4,4,87.8,0
161.8,94.5,0.317,0.8,80.0,1127.7,79.7,3,48.6,1
58.6,68.9,0.784,16.4,67.2,1074.3,686.7,1,64.7,0
91.2,107.1,0.658,1.3,102.1,719.5,535.9,0,56.6,0
12.3,84.6,0.485,5.2,26.3,1106.6,1378.3,3,37.4,0
70.6,56.8,0.854,21.9,121.0,110.7,342.2,1,42.6,1
112.0,77.2,0.541,1.7,90.5,239.2,1122.5,2,57.1,1
37.9,108.1,0.597,2.3,119.6,59.0,2983.1,3,70.6,0
350.0,95.2,0.535,1.6,85.5,393.8,1968.2,3,43.0,1
64.1,71.5,0.555,6.8,89.0,469.5,3102.9,2,70.9,0
3.4,86.6,0.833,2.9,145.9,329.3,4658.0,4,91.9,0
179.7,88.0,0.863,5.1,53.5,995.3,62.9,1,17.0,1
14.4,56.3,0.629,23.4,54.4,431.3,1219.8,1,28.1,0
128.6,64.8,0.941,5.2,100.5,340.7,688.9,2,88.3,1
168.0,85.3,0.298,2.8,114.1,653.5,2408.1,5,20.7,1
126.8,77.2,0.759,1.1,72.9,173.4,398.1,2,76.2,1
85.3,65.5,0.733,20.1,95.1,963.6,4807.8,2,64.9,0
31.1,97.5,0.463,12.6,55.8,94.1,1191.4,5,18.8,0
68.4,81.9,0.681,10.0,43.3,1184.3,1943.2,1,15.1,0
121.7,72.0,0.641,0.8,57.2,927.8,157.4,1,55.2,1
32.8,63.9,0.667,1.8,148.7,242.5,293.2,2,24.4,0
151.4,88.6,0.611,2.5,133.2,11.6,1754.6,5,84.8,1
90.0,91.6,0.957,5.1,43.9,979.5,76.7,1,53.5,0
18.5,91.8,0.304,2.5,31.3,849.7,2087.1,4,33.8,1
8.2,67.1,0.492,3.6,37.6,876.2,66.9,1,28.5,1
47.8,87.7,0.642,18.1,64.6,926.7,1334.4,0,81.9,0
47.3,104.8,0.638,12.0,134.5,93.5,595.1,0,72.5,0
65.2,74.4,0.533,2.5,68.4,433.4,1184.5,2,72.4,0
123.2,66.6,0.829,1.5,50.1,143.5,1479.0,2,21.8,1
58.6,97.5,0.537,2.8,78.4,1036.4,553.1,2,65.0,0
25.5,64.7,0.817,7.2,41.7,749.8,187.1,2,84.6,0
16.1,69.0,0.681,3.6,88.5,400.4,136.6,2,76.3,0
21.3,60.5,0.507,5.5,116.2,81.0,1116.8,2,24.5,0
26.3,69.7,0.556,20.7,74.8,376.6,932.4,5,90.9,0
23.0,77.6,0.891,3.8,48.4,393.6,1676.7,3,20.6,0
42.4,58.5,0.727,9.7,86.2,876.9,905.4,1,59.6,0
105.8,102.9,0.906,17.1,127.9,766.9,708.7,2,90.6,0
13.6,83.3,0.357,4.6,35.3,1065.2,659.2,2,80.8,0
32.3,87.3,0.975,2.8,34.6,569.3,82.2,2,69.5,1
79.6,75.4,0.857,7.8,67.9,147.9,540.6,3,83.5,0
36.2,91.8,0.811,21.5,81.0,857.3,4526.7,1,68.9,0
26.6,78.7,0.521,2.0,54.2,914.1,2531.5,1,19.4,0
109.6,96.9,0.473,0.6,28.6,675.7,529.5,2,43.1,1
112.5,100.2,0.414,12.7,54.6,926.3,1113.5,1,49.2,0
236.9,92.0,0.453,2.8,83.8,595.1,2305.1,2,58.7,1
157.7,82.0,0.355,2.5,35.7,629.7,748.5,3,33.4,1
82.1,98.0,0.679,5.8,121.6,515.9,71.7,1,85.5,1
158.6,82.2,0.751,6.7,99.5,35.4,142.9,2,33.3,1
39.6,61.1,0.766,10.5,83.6,133.9,907.0,4,67.6,0
113.8,61.4,0.565,3.6,95.0,42.6,4235.7,5,85.1,1
131.2,107.2,0.595,1.3,113.5,765.5,1467.9,5,73.6,1
21.5,66.7,0.375,3.5,159.3,380.7,138.3,3,25.9,0
39.0,99.9,0.714,1.6,129.6,612.7,301.9,0,91.1,1
25.6,68.6,0.692,13.5,97.9,1089.5,1820.5,2,22.4,0
173.4,78.7,0.646,1.8,129.0,302.9,2259.9,5,31.0,1
38.8,91.0,0.431,5.0,89.2,495.4,1203.8,3,26.1,0
25.2,63.7,0.514,1.9,67.0,907.9,1290.8,1,68.4,0
33.6,95.5,0.648,4.7,60.4,278.4,84.5,0,79.6,0
85.7,92.9,0.724,4.1,78.9,97.0,2166.0,1,34.0,0
57.1,84.9,0.61,5.4,25.3,351.3,1913.0,2,93.3,0
329.4,86.1,0.419,2.1,48.9,197.7,409.8,2,26.1,1
165.8,60.8,0.751,1.1,42.1,1116.0,1530.0,1,40.3,1
32.8,79.0,0.565,10.2,154.6,970.7,340.3,1,54.2,0
167.5,59.8,0.583,2.0,33.8,761.9,99.4,2,79.7,1
33.7,71.9,0.837,14.9,92.6,1046.4,319.5,2,45.1,0
106.0,104.5,0.139,0.8,149.2,965.4,286.1,2,29.4,0
153.1,86.6,0.274,2.9,107.0,228.0,544.5,6,52.2,1
153.8,95.8,0.62,14.4,91.9,1071.6,700.5,3,53.1,1
118.0,86.6,0.48,14.0,125.3,649.5,902.4,5,16.3,0
37.1,65.7,0.16,7.0,72.7,969.9,827.2,1,16.7,0
38.1,87.7,0.402,1.1,51.2,1075.8,428.8,2,37.2,0
123.1,96.5,0.573,17.9,139.4,385.0,85.5,0,74.3,1
288.8,62.6,0.67,3.6,32.6,136.5,1165.0,2,44.3,1
83.3,99.9,0.652,3.2,134.1,277.4,654.5,2,31.9,0
53.8,85.5,0.557,14.3,39.0,515.4,475.7,2,24.0,0
40.8,55.2,0.749,2.5,109.5,982.5,2470.4,2,37.4,0
24.6,83.6,0.544,4.5,89.4,1033.6,1698.0,3,53.5,0
95.8,76.8,0.656,5.2,159.8,13.3,2390.3,4,22.5,0
96.8,71.3,0.555,2.1,77.4,615.3,869.8,9,16.2,1
13.2,97.4,0.658,12.5,154.2,503.8,218.4,3,25.2,1
33.5,104.5,0.753,7.7,79.5,270.4,1479.7,1,74.0,0
167.0,96.9,0.688,4.8,117.0,148.2,326.9,3,52.3,1
44.0,101.6,0.496,3.1,111.9,408.5,748.4,1,50.6,0
235.7,105.0,0.734,14.5,36.7,1131.8,130.7,2,16.6,1
119.7,105.2,0.598,17.0,125.4,391.2,2143.7,2,71.9,0
9.0,61.3,0.694,18.7,53.2,625.0,211.5,5,31.2,0
254.7,80.1,0.377,1.2,77.4,845.1,2850.9,1,22.3,1
23.8,55.0,0.747,16.0,130.6,439.5,2446.2,4,82.4,0
257.7,82.9,0.596,1.4,152.5,1166.3,799.7,3,53.8,1
26.8,105.8,0.358,5.0,100.6,1155.1,1686.8,2,74.9,0
25.5,66.0,0.795,1.8,95.1,305.9,1209.3,2,80.8,0
89.7,90.2,0.441,3.3,93.2,599.2,1999.9,0,92.2,0
195.9,90.4,0.59,1.8,135.2,364.5,728.3,3,64.9,1
138.1,63.8,0.355,13.3,159.1,345.4,1899.1,1,20.5,1
122.6,68.1,0.857,1.9,110.5,49.1,794.9,1,59.6,1
30.8,80.4,0.774,1.9,76.1,733.4,3445.6,0,55.8,0
19.4,65.4,0.706,2.3,54.5,605.7,849.5,0,19.6,0
62.5,87.2,0.631,5.1,51.8,66.5,795.3,1,39.5,0
98.1,81.6,0.677,2.0,140.6,338.0,1894.9,2,48.0,0
90.4,83.6,0.568,4.0,159.0,1090.4,2118.3,3,27.9,0
50.5,62.4,0.841,12.7,119.2,291.3,1020.2,1,15.7,0
146.0,83.4,0.565,0.9,154.0,178.1,287.8,1,75.6,1
39.2,57.7,0.23,2.2,72.2,589.9,806.8,1,83.1,0
36.0,103.5,0.907,14.5,109.7,1182.9,4183.1,1,33.3,0
33.9,73.9,0.708,4.1,94.1,294.3,1728.0,2,15.3,0
140.2,102.1,0.682,5.0,90.1,808.2,2050.2,1,86.2,0
14.6,93.6,0.729,15.2,110.4,915.1,90.1,3,25.7,1
60.2,97.1,0.614,1.4,66.9,289.0,807.0,1,47.3,0
100.2,72.3,0.651,2.2,111.5,875.2,1298.3,1,44.3,1
39.5,67.5,0.664,4.9,115.8,444.5,2176.6,2,28.1,0
185.6,77.4,0.306,22.1,137.9,760.6,110.6,1,62.9,1
172.7,56.3,0.775,3.4,123.6,762.1,2346.2,4,88.5,1
13.5,105.5,0.673,4.1,68.2,645.3,1004.0,1,56.1,0
352.6,76.3,0.657,23.9,85.9,112.9,313.7,4,92.8,1
271.9,109.4,0.714,24.2,41.3,1003.2,508.0,6,30.3,1
17.8,96.9,0.933,5.6,59.7,388.3,447.4,2,82.9,0
43.2,59.4,0.821,11.9,95.3,227.9,958.2,1,35.6,0
236.9,91.3,0.939,1.1,38.6,53.7,113.7,3,35.0,1
28.7,69.9,0.415,11.0,102.0,711.1,257.1,2,24.4,0
8.5,68.4,0.503,1.1,77.7,814.7,2060.0,3,84.1,0
176.5,69.1,0.64,3.9,29.7,24.8,220.7,1,73.0,1
140.0,105.4,0.714,5.8,83.7,617.0,368.9,4,42.3,1
140.1,82.5,0.923,0.8,63.0,275.7,774.8,2,43.0,1
152.7,91.8,0.165,2.3,34.0,776.0,923.6,2,82.6,1
20.6,70.5,0.926,1.2,64.6,213.4,1780.7,3,89.2,1
39.5,83.8,0.397,16.2,64.7,830.7,761.6,3,63.2,0
141.3,74.3,0.329,2.0,72.9,467.1,1922.0,3,47.5,1
281.5,72.7,0.881,7.3,74.5,1124.4,1205.9,2,19.3,1
51.5,68.6,0.244,24.5,83.0,169.3,194.0,4,25.1,0
242.0,77.5,0.698,2.7,37.4,412.6,254.0,3,26.3,1
309.0,91.3,0.515,13.4,25.7,140.6,739.4,0,37.1,1
112.1,67.2,0.581,4.7,124.4,1110.0,656.8,3,35.6,1
42.7,108.1,0.525,4.9,70.5,1053.4,1683.0,4,58.4,0
135.1,61.9,0.495,5.8,107.8,313.2,1093.1,1,90.5,1
98.8,81.4,0.383,16.1,66.4,793.7,639.5,4,83.9,1
268.3,59.7,0.387,9.1,157.9,981.6,274.7,5,55.7,1
20.3,56.2,0.18,2.4,67.6,668.5,358.7,0,16.4,0
94.0,105.7,0.345,16.3,106.7,637.9,1078.2,3,20.5,0
16.7,99.6,0.568,2.6,54.7,294.0,710.8,1,83.8,0
151.2,93.2,0.551,4.1,94.9,116.3,918.1,0,37.7,1
339.1,102.6,0.554,3.4,103.2,1077.2,274.6,1,40.4,1
16.8,99.2,0.269,11.8,49.7,1081.0,1354.9,2,26.2,0
75.3,90.6,0.401,1.5,41.7,761.6,2347.0,1,32.8,0
39.9,101.6,0.427,11.3,156.4,410.1,408.0,1,34.8,0
74.2,76.5,0.895,5.8,145.6,422.3,861.6,1,48.0,0
117.0,85.4,0.385,4.5,114.1,872.5,4502.2,5,64.9,1
359.3,97.7,0.408,5.3,141.2,1077.0,536.4,3,43.3,1
126.7,59.7,0.811,24.4,37.9,1065.1,1134.8,2,51.0,1
56.0,102.2,0.799,1.8,123.5,937.0,163.4,2,29.6,1
33.3,63.6,0.368,16.8,63.6,772.2,1167.7,6,19.5,0
140.1,102.5,0.536,2.2,97.8,105.5,162.7,1,42.9,0
165.8,72.1,0.848,2.8,128.2,198.1,3889.9,2,20.0,1
274.8,73.0,0.574,0.7,29.5,1078.8,1559.1,3,39.0,1
208.5,59.1,0.434,4.4,118.8,729.7,1912.3,3,82.0,1
37.0,103.7,0.358,2.0,83.7,16.0,1511.3,3,44.4,0
169.4,64.6,0.803,2.3,84.4,126.3,1119.1,5,30.5,1
52.9,89.7,0.518,23.6,147.5,797.9,767.2,1,87.2,0
61.4,90.4,0.36,7.6,141.1,11.0,2395.5,0,66.1,0
36.2,70.5,0.277,3.7,32.8,197.2,3821.3,4,94.1,0
144.5,109.2,0.687,20.9,108.5,660.7,879.5,0,39.0,0
50.4,58.5,0.671,1.8,83.8,831.8,3267.7,2,31.0,0
22.8,88.4,0.545,10.1,40.9,784.1,1100.6,3,38.8,1
35.3,81.4,0.792,3.3,139.9,273.0,977.6,0,80.0,0
214.6,68.5,0.544,17.6,34.7,856.1,777.2,1,27.1,1
48.9,64.0,0.713,15.1,29.3,288.5,331.8,2,34.3,0
90.9,95.5,0.739,5.6,51.7,393.9,54.5,0,71.1,1
6.8,105.4,0.395,1.9,66.0,897.1,381.7,4,74.0,1
47.7,60.9,0.459,3.8,33.2,781.3,905.3,5,91.7,0
118.7,65.7,0.634,11.8,111.6,1019.8,623.6,5,93.4,1
45.6,109.2,0.81,20.7,84.0,790.8,764.1,3,68.1,0
97.0,55.8,0.884,4.2,80.6,684.1,4784.0,4,44.0,1
45.5,83.0,0.455,2.3,44.6,116.9,567.4,6,51.2,1
21.7,83.4,0.789,12.4,84.1,444.4,772.2,2,50.1,1
39.4,69.5,0.786,4.1,77.7,321.9,222.0,5,46.0,0
169.5,91.5,0.825,5.7,76.8,296.6,109.0,1,42.1,0
71.6,107.0,0.694,1.2,54.5,1167.7,1842.2,3,28.4,1
26.5,79.8,0.72,1.4,37.7,474.8,1064.7,1,44.3,0
147.9,96.2,0.918,6.7,60.2,1071.0,1766.1,2,92.5,1
25.7,90.5,0.618,18.3,115.1,759.2,244.8,1,85.6,0
29.5,81.0,0.743,0.5,34.8,954.8,1067.9,3,64.4,1
92.1,57.7,0.785,8.7,76.6,605.7,401.1,1,30.4,1
173.5,95.8,0.59,1.3,94.4,694.4,360.6,2,85.3,1
141.5,75.0,0.659,4.4,155.0,593.6,63.9,3,39.9,1
99.2,67.3,0.65,20.8,138.9,238.3,217.6,4,58.7,1
27.7,107.2,0.763,2.1,148.7,868.3,494.0,4,87.9,1
48.8,97.5,0.497,5.6,135.7,340.5,199.2,3,41.8,0
24.6,107.9,0.885,3.5,104.5,34.1,5160.4,0,88.1,1
28.4,69.1,0.777,9.8,141.2,776.3,492.9,0,33.8,0
276.7,101.0,0.816,23.0,101.3,216.6,217.6,2,89.3,1
96.6,88.4,0.739,3.3,73.3,1128.8,316.4,1,43.7,1
18.1,109.0,0.93,2.3,75.3,1144.9,1113.2,2,45.0,0
22.5,107.0,0.53,10.6,101.3,1098.3,129.4,1,59.2,0
26.5,108.5,0.148,5.2,134.3,447.3,2430.4,2,42.8,0
131.4,107.3,0.246,21.1,43.0,23.5,3958.5,0,51.0,0
175.2,55.4,0.447,1.7,30.3,1114.3,390.0,3,55.1,0
67.6,95.8,0.51,2.7,131.6,516.7,767.6,2,54.3,0
42.7,70.0,0.75,16.5,112.4,1160.2,76.9,3,91.9,0
34.6,93.8,0.432,4.8,135.9,1156.5,1278.4,3,37.5,0
121.4,108.9,0.505,2.0,156.9,1024.3,691.2,1,37.8,0
154.2,57.2,0.627,4.1,58.9,356.9,427.7,3,82.0,1
207.4,86.2,0.664,21.1,51.2,465.2,328.1,0,46.4,1
21.2,95.4,0.928,6.5,71.0,1022.1,1323.7,3,20.9,0
242.9,68.9,0.548,24.5,143.5,383.7,695.9,0,53.5,1
74.7,67.4,0.409,5.9,26.9,207.5,287.6,3,59.0,1
171.9,58.3,0.594,22.5,26.4,670.4,1452.0,2,64.4,0
155.6,60.2,0.751,3.7,54.3,1123.7,1049.1,3,33.8,1
60.1,91.1,0.764,2.5,75.7,836.8,2398.0,1,92.9,0
62.1,82.8,0.8,4.9,65.8,686.2,200.0,4,74.0,1
90.5,56.7,0.667,12.3,136.4,121.1,1898.3,2,72.6,1
50.1,108.3,0.152,8.5,118.1,739.9,1393.3,2,84.8,0
81.2,91.1,0.93,2.8,138.1,1188.1,196.6,0,17.1,1
146.7,83.4,0.6,7.0,76.8,172.4,1474.2,2,64.1,1
160.0,70.0,0.713,4.3,105.4,624.4,749.1,4,80.4,1
20.6,91.2,0.843,1.0,94.6,1053.5,3530.2,1,17.7,0
55.1,75.0,0.296,1.1,89.1,890.2,233.2,6,75.5,1
261.1,93.6,0.76,5.1,63.9,837.9,1285.5,2,94.2,1
30.5,92.5,0.389,20.8,120.7,844.5,627.5,1,62.5,0
178.2,60.1,0.413,3.5,95.7,434.6,3820.7,0,49.0,1
70.0,105.0,0.455,2.1,35.6,355.8,530.5,1,51.3,0
170.3,81.8,0.855,1.5,25.1,972.2,3980.1,3,69.4,1
120.7,76.6,0.543,12.0,27.7,973.1,2831.1,2,60.6,1
301.1,107.6,0.613,3.1,35.3,1041.2,428.3,2,78.0,1
183.1,79.1,0.677,3.4,75.1,1096.3,2002.8,2,48.7,1
153.9,94.7,0.635,4.4,66.3,616.1,6562.5,5,48.4,1
12.8,91.0,0.881,11.5,46.1,604.3,399.5,0,74.7,1
9.4,64.1,0.643,1.0,94.6,959.0,738.9,1,66.6,0
94.6,109.5,0.332,4.6,156.0,781.7,931.2,4,77.2,0
39.9,80.5,0.868,14.3,46.7,843.9,469.4,3,86.0,0
135.3,76.7,0.93,24.3,58.8,956.0,68.5,2,36.1,1
35.6,105.6,0.632,4.9,87.4,1068.6,348.4,1,40.2,0
23.4,84.1,0.768,2.4,111.5,408.9,447.4,1,57.2,0
74.2,93.8,0.59,5.3,106.0,453.8,753.5,1,89.4,0
23.7,101.5,0.505,22.2,95.4,117.3,275.2,0,81.8,0
161.2,68.0,0.893,3.3,124.5,696.0,2528.7,2,52.5,1
78.0,64.3,0.758,3.3,139.2,48.0,1514.6,0,60.8,0
23.5,58.8,0.251,3.8,159.9,561.4,156.9,2,72.0,0
154.8,104.3,0.484,10.5,87.8,653.5,1310.1,2,56.8,1
96.5,66.0,0.629,4.7,159.3,347.4,1322.4,1,22.9,1
88.3,71.9,0.399,13.3,123.6,711.0,3804.3,1,43.2,0
99.2,70.7,0.453,5.4,113.7,41.4,53.6,3,18.8,1
45.1,71.8,0.726,11.9,111.4,49.6,391.9,3,68.6,1
354.1,91.7,0.24,1.2,148.0,988.0,3203.8,2,42.0,1
10.9,107.5,0.583,16.4,153.0,435.4,3278.3,3,74.1,0
21.2,73.1,0.85,1.4,49.1,156.8,1580.1,1,49.4,0
91.8,77.4,0.856,0.9,91.6,629.1,1791.7,3,18.6,1
36.3,97.4,0.877,13.6,152.1,925.1,165.1,4,45.4,0
230.5,78.8,0.482,4.5,76.6,262.9,915.5,3,32.5,1
35.1,105.9,0.949,0.6,56.4,749.4,366.1,0,32.1,1
16.5,82.7,0.591,10.5,38.9,107.0,289.9,1,45.2,1
174.8,74.1,0.98,1.1,105.6,66.8,2044.8,2,93.3,1
90.7,108.4,0.278,2.8,119.5,640.0,224.1,2,91.8,0
281.5,78.4,0.641,1.5,51.4,651.1,808.8,3,79.3,1
169.5,67.7,0.431,9.2,115.9,766.7,3398.0,1,34.6,1
68.6,64.8,0.539,3.4,146.4,872.7,296.7,2,76.1,0
174.0,109.7,0.442,1.7,57.9,1171.1,4629.7,2,16.2,1
333.3,96.4,0.67,13.4,41.5,622.0,6248.2,2,19.5,1
98.0,77.5,0.659,0.7,137.8,390.9,1023.3,1,81.9,0
93.7,100.4,0.645,14.8,148.7,955.2,273.8,4,60.1,0
67.9,85.1,0.207,1.5,54.0,328.6,505.9,4,44.9,0
31.6,72.5,0.345,5.1,122.4,529.6,713.0,2,74.2,0
296.6,95.9,0.946,3.5,104.8,98.8,494.1,1,24.1,1
16.1,96.0,0.702,21.9,57.3,35.3,445.3,3,37.9,0
4.8,82.5,0.526,12.0,136.2,1155.4,4350.5,3,73.2,0
81.6,57.5,0.62,4.9,88.5,1004.0,249.8,1,31.6,1
132.0,59.2,0.604,1.2,119.5,836.7,1636.1,3,63.1,1
55.7,98.4,0.393,2.1,65.7,493.7,50.5,5,50.8,1
109.7,100.3,0.341,24.6,135.1,212.1,1138.2,3,31.2,0
351.2,92.3,0.389,22.4,60.7,191.9,3021.5,2,86.1,1
293.2,101.1,0.85,2.5,74.2,304.0,457.5,3,49.8,1
26.8,94.6,0.667,2.5,77.8,661.3,296.3,0,62.9,0
41.1,104.3,0.665,0.5,52.9,858.9,1315.6,1,35.2,0
98.9,63.3,0.769,1.1,143.0,793.9,1546.3,3,42.7,1
50.1,76.3,0.942,4.8,40.3,339.5,1447.8,3,18.9,0
136.8,80.5,0.396,12.8,101.0,1146.1,511.6,3,53.7,1
64.6,71.4,0.564,18.9,134.9,886.8,398.7,4,42.6,0
133.6,94.9,0.396,8.5,103.4,667.5,3796.1,1,41.4,0
67.7,105.2,0.817,1.7,69.1,736.0,3131.4,1,86.2,0
28.6,77.7,0.485,1.5,130.5,506.4,783.5,0,71.3,0
79.8,106.8,0.428,5.6,92.4,301.0,2296.5,2,51.6,0
48.4,83.4,0.755,4.4,47.0,430.4,772.5,4,30.6,0
232.5,83.7,0.627,1.3,67.8,910.6,712.8,1,92.9,1
110.0,88.0,0.184,4.7,104.9,22.2,254.6,3,21.0,1
59.8,69.8,0.748,3.6,113.9,143.7,717.0,3,25.9,0
116.0,76.1,0.829,2.1,99.0,60.0,975.1,1,36.6,1
121.4,85.4,0.621,19.6,61.7,53.7,77.3,2,91.4,1
98.9,106.8,0.316,20.4,105.2,1027.3,754.6,3,37.3,0
25.4,90.3,0.449,2.1,69.9,845.9,1874.4,4,54.3,0
64.0,73.3,0.503,1.9,55.4,571.6,1417.5,2,75.9,0
50.6,55.6,0.543,16.9,152.6,121.9,1259.9,5,89.3,0
25.4,109.0,0.507,5.5,67.5,592.5,2933.6,2,63.4,0
128.9,82.1,0.767,20.0,70.3,570.8,71.8,6,45.7,1
25.5,106.6,0.793,5.8,146.1,212.0,1027.2,1,93.8,0
50.3,85.2,0.827,19.6,44.3,523.5,1907.7,2,17.1,0
246.3,88.3,0.709,11.6,103.9,481.2,985.3,2,81.6,1
299.1,94.2,0.816,2.7,130.8,740.9,519.7,3,37.2,0
71.4,72.7,0.519,4.0,61.9,763.9,225.8,4,80.4,1
29.7,93.4,0.663,4.9,139.0,59.1,2672.4,1,28.0,0
165.1,84.0,0.765,21.3,128.9,452.7,813.6,1,42.7,1
30.1,92.0,0.838,9.1,90.6,752.9,2575.6,1,19.5,0
90.7,101.0,0.763,5.3,41.0,606.2,1107.8,3,31.0,0
33.3,65.1,0.898,3.0,156.0,1028.5,1395.7,2,63.2,1
7.3,88.7,0.544,3.0,109.3,792.1,2007.2,3,75.9,0
157.8,57.9,0.834,18.1,94.8,199.7,1341.6,2,87.9,1
48.3,60.6,0.361,1.4,144.5,89.3,659.1,4,24.6,1
15.3,92.1,0.615,2.7,81.9,772.7,915.0,6,26.2,0
354.7,58.9,0.899,14.0,101.1,36.7,1999.7,2,90.1,1
29.2,87.7,0.796,2.6,140.9,705.0,611.4,3,76.3,0
74.7,67.1,0.902,0.8,78.1,1128.6,639.5,5,58.2,1
50.8,71.7,0.644,14.7,129.3,692.7,170.7,1,53.1,0
117.7,62.1,0.458,19.0,59.6,468.9,3002.3,3,27.6,1
46.0,68.7,0.777,0.6,119.8,773.7,164.5,0,45.3,1
137.0,100.2,0.703,0.6,93.9,552.6,1303.7,4,44.8,1
61.6,90.1,0.76,1.4,47.3,657.0,689.7,2,66.9,1
326.8,107.2,0.827,2.8,43.4,1130.1,674.3,1,62.9,1
126.7,57.7,0.426,2.0,86.8,466.4,1415.6,4,19.8,1
192.3,98.6,0.26,17.5,121.0,1153.6,133.3,3,82.9,1
18.1,93.4,0.786,1.6,106.4,1086.9,1130.8,5,90.0,0
117.9,69.3,0.84,4.2,140.4,239.0,1824.3,1,77.4,1
324.8,95.1,0.87,5.4,77.6,87.9,2163.8,2,29.3,1
36.5,94.4,0.931,1.2,138.9,125.4,274.4,3,28.8,1
179.4,80.3,0.407,9.2,30.0,26.8,2782.5,0,73.1,1
15.3,92.9,0.728,9.7,74.4,117.9,1331.0,4,50.3,0
16.8,79.5,0.383,4.2,34.9,821.2,2613.0,1,77.3,0
50.5,73.5,0.738,4.0,149.1,90.1,847.0,0,21.0,0
22.7,80.7,0.883,0.7,89.2,386.2,987.2,3,72.3,1
